id,listing_url,name,picture_url,neighbourhood,zipcode,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,beds,price,weekly_price,monthly_price,security_deposit,cleaning_fee,guests_included,extra_people
22831677,https://www.airbnb.com/rooms/22831677,*Amazing Dogpatch Condo Includes Parking & Gym*,https://a0.muscache.com/im/pictures/779a33f9-2314-4ff2-9594-67cc08b36036.jpg?aki_policy=large,Potrero Hill,94107,37.75903,-122.39075,Condominium,Entire home/apt,2,1.5,1,1,"$4,500.00 ",,,,,1,$0.00 
22834388,https://www.airbnb.com/rooms/22834388,"Room in quirky, quiet hideaway in Noe / Mission",https://a0.muscache.com/im/pictures/0ffd71ff-8955-4f72-b6b6-9f7e43da78a6.jpg?aki_policy=large,Mission,94110,37.74851,-122.42452,Condominium,Private room,2,1,1,1,$56.00 ,,,$150.00 ,$15.00 ,1,$25.00 
22844505,https://www.airbnb.com/rooms/22844505,Comfortable  Condo near Pacific Heights,https://a0.muscache.com/im/pictures/1c1260b3-ae5a-485b-afaf-ce1a551fa835.jpg?aki_policy=large,Western Addition,94115,37.78272,-122.43128,Condominium,Entire home/apt,2,1,1,1,$141.00 ,,,$500.00 ,$100.00 ,1,$0.00 
22846194,https://www.airbnb.com/rooms/22846194,Top floor in heart of the mission,https://a0.muscache.com/im/pictures/d8533c2e-ba64-4477-8fa6-06a1303f15a7.jpg?aki_policy=large,Mission,94110,37.76144,-122.42079,Apartment,Private room,2,1,1,1,$140.00 ,,,$0.00 ,$100.00 ,1,$0.00 
22852845,https://www.airbnb.com/rooms/22852845,Newly Remodeled 3 Bed 2 Bath Victorian,https://a0.muscache.com/im/pictures/6ac5bb5b-c239-41d4-a861-5240c42387d1.jpg?aki_policy=large,Western Addition,94117,37.77184,-122.43485,Townhouse,Entire home/apt,6,2,3,2,$300.00 ,,,$500.00 ,$200.00 ,4,$50.00 
22866082,https://www.airbnb.com/rooms/22866082,4BR Apartment in Hayes Valley,https://a0.muscache.com/im/pictures/b315be27-6422-47d3-b4f6-2d3917f9aaa5.jpg?aki_policy=large,Western Addition,94102,37.7761,-122.42679,Apartment,Entire home/apt,9,4,4,4,$333.00 ,,,$500.00 ,$510.00 ,1,$0.00 
22866146,https://www.airbnb.com/rooms/22866146,4 Bedroom Apartment near Civic Center,https://a0.muscache.com/im/pictures/c5af2987-3bd9-42bc-b5ad-70f5a2b42ea7.jpg?aki_policy=large,Western Addition,94102,37.77706,-122.42746,Apartment,Entire home/apt,8,4.5,4,4,$333.00 ,,,$500.00 ,$535.00 ,1,$0.00 
22866228,https://www.airbnb.com/rooms/22866228,Beautiful 4 bed/4 bath in Hayes Valley,https://a0.muscache.com/im/pictures/6e7a10a6-28a0-4ca7-94e3-268009c10201.jpg?aki_policy=large,Western Addition,94102,37.77609,-122.42871,Apartment,Entire home/apt,8,4.5,4,4,$333.00 ,,,$500.00 ,$535.00 ,1,$0.00 
22869439,https://www.airbnb.com/rooms/22869439,"Spacious, Remodeled 3BR/2.5B Home w/ Free Parking",https://a0.muscache.com/im/pictures/e402d601-bdd0-4d02-9938-51b54fbcd3fd.jpg?aki_policy=large,Inner Sunset,94131,37.75289,-122.45707,House,Entire home/apt,8,2.5,3,6,$299.00 ,,,"$1,999.00 ",$200.00 ,4,$29.00 
22886185,https://www.airbnb.com/rooms/22886185,"Spacious and Bright Apartment, great location!",https://a0.muscache.com/im/pictures/02711906-0d3e-4fd7-afc3-460831825766.jpg?aki_policy=large,Western Addition,94102,37.77272,-122.42514,Apartment,Entire home/apt,2,1,1,1,$110.00 ,,,$0.00 ,$100.00 ,1,$0.00 
